job_id,run_name,status,classifier,model,model_name,input_mode,unfreeze_layers,head_type,loss_name,epochs,pooling,encoder_lr,classifier_lr,val_macro_f1,test_loss,test_macro_f1,test_accuracy,best_epoch,start_phase,use_time_of_tweet,use_age_of_user,use_country,label,log_path,command
538353,,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,,,,0.9084,0.3044,0.9027,0.9034,3,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538353.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --loss_name cross_entropy --start_phase 1
538416,,complete,linear,bert,bert-base-uncased,,,,,,,,,0.6624,,0.6371,0.6342,,2,,,,bert | linear,/home/k/kimsh/cs4248/project/results/slurm_new_538416.log,python -u run_all.py --classifier linear --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --start_phase 2
538440,,complete,linear,bert,bert-base-uncased,,,,,,,,,0.6628,,0.6355,0.6325,,2,,,,bert | linear,/home/k/kimsh/cs4248/project/results/slurm_new_538440.log,python -u run_all.py --classifier linear --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --start_phase 2
538446,,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,,,,0.9052,1.2553,0.6365,0.6556,5,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538446.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --loss_name cross_entropy --start_phase 1
538508,,complete,transformer,bert,bert-base-uncased,text,4,mlp,cross_entropy,5,,,,0.7762,0.5273,0.7850,0.7818,4,2,,,,bert | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538508.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --loss_name cross_entropy --start_phase 2
538556,,complete,transformer,roberta,roberta-base,text,4,mlp,cross_entropy,5,,,,0.7805,0.5376,0.7816,0.7779,3,2,,,,roberta | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538556.log,python -u run_all.py --classifier transformer --model roberta --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --loss_name cross_entropy --start_phase 2
538559,,complete,transformer,bertweet,vinai/bertweet-base,text,4,mlp,cross_entropy,5,,,,0.7877,0.5260,0.7867,0.7832,5,2,,,,bertweet | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538559.log,python -u run_all.py --classifier transformer --model bertweet --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --loss_name cross_entropy --start_phase 2
538654,bert_linear CLASSIFIER=linear MODEL=bert START_PHASE=1,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9084,1.2601,0.6450,0.6624,5,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538654.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
538655,bert_ft_l2 CLASSIFIER=transformer MODEL=bert START_PHASE=2 INPUT_MODE=text UNFREEZE_LAYERS=2 HEAD_TYPE=mlp LOSS_NAME=cross_entropy,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9084,1.1422,0.6512,0.6658,5,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538655.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
538697,bert_ft_l4 CLASSIFIER=transformer MODEL=bert START_PHASE=2 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9059,1.1649,0.6356,0.6539,4,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538697.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
538698,bert_ft_focal CLASSIFIER=transformer MODEL=bert START_PHASE=2 INPUT_MODE=text UNFREEZE_LAYERS=2 HEAD_TYPE=mlp LOSS_NAME=focal,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9059,1.1649,0.6356,0.6539,4,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538698.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
538726,roberta_ft_l2 CLASSIFIER=transformer MODEL=roberta START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=2 HEAD_TYPE=mlp LOSS_NAME=cross_entropy,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9060,1.2360,0.6379,0.6556,5,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538726.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
538727,bertweet_ft_l2 CLASSIFIER=transformer MODEL=bertweet START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=2 HEAD_TYPE=mlp LOSS_NAME=cross_entropy,complete,transformer,bert,bert-base-uncased,text_plus_selected,4,mlp,cross_entropy,5,auto,2e-5,1e-4,0.9095,1.2113,0.6406,0.6590,5,1,,,,bert | text_plus_selected | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_538727.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --epochs 5 --unfreeze_layers 4 --input_mode text_plus_selected --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
